EVALUACIÓN SOBRE CARPETA (modelo M + cascada 9-12)
==================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/1923] 01_000_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  33/1923] 01_045_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  34/1923] 01_045_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  35/1923] 01_045_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  36/1923] 01_045_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  37/1923] 01_045_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  38/1923] 01_045_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  39/1923] 01_045_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  40/1923] 01_045_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  41/1923] 01_090_10_001.jpg | REAL=01 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | FAIL
[  42/1923] 01_090_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  43/1923] 01_090_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  44/1923] 01_090_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  45/1923] 01_090_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  46/1923] 01_090_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  47/1923] 01_090_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  48/1923] 01_090_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  49/1923] 01_090_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  50/1923] 01_090_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  51/1923] 01_090_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  52/1923] 01_090_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  53/1923] 01_090_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  54/1923] 01_090_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  55/1923] 01_090_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  56/1923] 01_090_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  57/1923] 01_090_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  58/1923] 01_090_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  59/1923] 01_090_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  60/1923] 01_090_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  61/1923] 01_135_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  62/1923] 01_135_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  63/1923] 01_135_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  64/1923] 01_135_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  65/1923] 01_135_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  66/1923] 01_135_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  67/1923] 01_135_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  68/1923] 01_135_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  69/1923] 01_135_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  70/1923] 01_135_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  71/1923] 01_135_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  72/1923] 01_135_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  73/1923] 01_135_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  74/1923] 01_135_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  75/1923] 01_135_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  76/1923] 01_135_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  77/1923] 01_135_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  78/1923] 01_135_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  79/1923] 01_135_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  80/1923] 01_135_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  81/1923] 01_180_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  82/1923] 01_180_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  83/1923] 01_180_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  84/1923] 01_180_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  85/1923] 01_180_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  86/1923] 01_180_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  87/1923] 01_180_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  88/1923] 01_180_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  89/1923] 01_180_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  90/1923] 01_180_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  91/1923] 01_180_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  92/1923] 01_180_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  93/1923] 01_180_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  94/1923] 01_180_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  95/1923] 01_180_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  96/1923] 01_180_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  97/1923] 01_180_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  98/1923] 01_180_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  99/1923] 01_180_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 100/1923] 01_180_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 101/1923] 01_225_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 102/1923] 01_225_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 103/1923] 01_225_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 104/1923] 01_225_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 105/1923] 01_225_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 106/1923] 01_225_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 107/1923] 01_225_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 108/1923] 01_225_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 109/1923] 01_225_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 110/1923] 01_225_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 111/1923] 01_225_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 112/1923] 01_225_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 113/1923] 01_225_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 114/1923] 01_225_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 115/1923] 01_225_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 116/1923] 01_225_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 117/1923] 01_225_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 118/1923] 01_225_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 119/1923] 01_225_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 120/1923] 01_225_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 121/1923] 01_270_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 122/1923] 01_270_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 123/1923] 01_270_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 124/1923] 01_270_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 125/1923] 01_270_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 126/1923] 01_270_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 127/1923] 01_270_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 128/1923] 01_270_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 129/1923] 01_270_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 130/1923] 01_270_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 131/1923] 01_270_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 132/1923] 01_270_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 133/1923] 01_270_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 134/1923] 01_270_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 135/1923] 01_270_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 136/1923] 01_270_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 137/1923] 01_270_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 138/1923] 01_270_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 139/1923] 01_270_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 140/1923] 01_270_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 141/1923] 01_315_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 142/1923] 01_315_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 143/1923] 01_315_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 144/1923] 01_315_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 145/1923] 01_315_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 146/1923] 01_315_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 147/1923] 01_315_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 148/1923] 01_315_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 149/1923] 01_315_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 150/1923] 01_315_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 151/1923] 01_315_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 152/1923] 01_315_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 153/1923] 01_315_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 154/1923] 01_315_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 155/1923] 01_315_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 156/1923] 01_315_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 157/1923] 01_315_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 158/1923] 01_315_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 159/1923] 02_000_10_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 160/1923] 02_000_10_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 161/1923] 02_000_10_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 162/1923] 02_000_10_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 163/1923] 02_000_10_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 164/1923] 02_000_40_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 165/1923] 02_000_40_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 166/1923] 02_000_40_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 167/1923] 02_000_40_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 168/1923] 02_000_40_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 169/1923] 02_000_70_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 170/1923] 02_000_70_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 171/1923] 02_000_70_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 172/1923] 02_000_70_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 173/1923] 02_000_70_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 174/1923] 02_000_90_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 175/1923] 02_000_90_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 176/1923] 02_000_90_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 177/1923] 02_000_90_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 178/1923] 02_000_90_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 179/1923] 02_045_10_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 180/1923] 02_045_10_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 181/1923] 02_045_10_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 182/1923] 02_045_10_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 183/1923] 02_045_10_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 184/1923] 02_045_40_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 185/1923] 02_045_40_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 186/1923] 02_045_40_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 187/1923] 02_045_40_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 188/1923] 02_045_40_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 189/1923] 02_045_70_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 190/1923] 02_045_70_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 191/1923] 02_045_70_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 192/1923] 02_045_70_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 193/1923] 02_045_70_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 194/1923] 02_045_90_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 195/1923] 02_045_90_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 196/1923] 02_045_90_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 197/1923] 02_045_90_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 198/1923] 02_045_90_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 199/1923] 02_090_10_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 200/1923] 02_090_10_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 201/1923] 02_090_10_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 202/1923] 02_090_10_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 203/1923] 02_090_10_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 204/1923] 02_090_40_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 205/1923] 02_090_40_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 206/1923] 02_090_40_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 207/1923] 02_090_40_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 208/1923] 02_090_40_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 209/1923] 02_090_70_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 210/1923] 02_090_70_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 211/1923] 02_090_70_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 212/1923] 02_090_70_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 213/1923] 02_090_70_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 214/1923] 02_090_90_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 215/1923] 02_090_90_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 216/1923] 02_090_90_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 217/1923] 02_090_90_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 218/1923] 02_090_90_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 219/1923] 02_135_10_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 220/1923] 02_135_10_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 221/1923] 02_135_10_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 222/1923] 02_135_10_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 223/1923] 02_135_10_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 224/1923] 02_135_40_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 225/1923] 02_135_40_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 226/1923] 02_135_40_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 227/1923] 02_135_40_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 228/1923] 02_135_70_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 229/1923] 02_135_70_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 230/1923] 02_135_70_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 231/1923] 02_135_70_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 232/1923] 02_135_70_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 233/1923] 02_135_90_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 234/1923] 02_135_90_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
