EVALUACIÓN SOBRE CARPETA (modelo M + cascada 9-12)
==================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/1923] 01_000_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=000/10 (s=0.904 g=0.025) | OK
[  42/1923] 01_090_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/10 (s=0.986 g=0.097) | OK
[  43/1923] 01_090_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/10 (s=0.993 g=0.113) | OK
[  44/1923] 01_090_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/10 (s=0.988 g=0.104) | OK
[  45/1923] 01_090_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/10 (s=0.995 g=0.108) | OK
[  46/1923] 01_090_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/40 (s=0.967 g=0.100) | OK
[  47/1923] 01_090_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/40 (s=0.967 g=0.098) | OK
[  48/1923] 01_090_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/40 (s=0.998 g=0.147) | OK
[  49/1923] 01_090_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/40 (s=0.994 g=0.155) | OK
[  50/1923] 01_090_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/40 (s=0.998 g=0.145) | OK
[  51/1923] 01_090_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/70 (s=0.972 g=0.159) | OK
[  52/1923] 01_090_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/70 (s=0.975 g=0.155) | OK
[  53/1923] 01_090_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/70 (s=0.993 g=0.131) | OK
[  54/1923] 01_090_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/70 (s=0.993 g=0.131) | OK
[  55/1923] 01_090_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/70 (s=0.992 g=0.132) | OK
[  56/1923] 01_090_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/90 (s=0.998 g=0.148) | OK
[  57/1923] 01_090_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/90 (s=0.998 g=0.150) | OK
[  58/1923] 01_090_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/90 (s=0.994 g=0.144) | OK
[  59/1923] 01_090_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/90 (s=0.994 g=0.144) | OK
[  60/1923] 01_090_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=090/90 (s=0.994 g=0.143) | OK
[  61/1923] 01_135_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/10 (s=0.994 g=0.105) | OK
[  62/1923] 01_135_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/10 (s=0.995 g=0.096) | OK
[  63/1923] 01_135_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/10 (s=0.975 g=0.089) | OK
[  64/1923] 01_135_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/10 (s=0.963 g=0.080) | OK
[  65/1923] 01_135_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/10 (s=0.983 g=0.093) | OK
[  66/1923] 01_135_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/40 (s=0.924 g=0.055) | OK
[  67/1923] 01_135_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/40 (s=0.923 g=0.057) | OK
[  68/1923] 01_135_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/40 (s=0.980 g=0.115) | OK
[  69/1923] 01_135_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/40 (s=0.979 g=0.115) | OK
[  70/1923] 01_135_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/40 (s=0.980 g=0.117) | OK
[  71/1923] 01_135_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/70 (s=0.980 g=0.148) | OK
[  72/1923] 01_135_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/70 (s=0.980 g=0.151) | OK
[  73/1923] 01_135_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/70 (s=0.994 g=0.140) | OK
[  74/1923] 01_135_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/70 (s=0.994 g=0.140) | OK
[  75/1923] 01_135_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/70 (s=0.994 g=0.140) | OK
[  76/1923] 01_135_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/90 (s=0.961 g=0.129) | OK
[  77/1923] 01_135_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/90 (s=0.960 g=0.127) | OK
[  78/1923] 01_135_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/90 (s=0.990 g=0.148) | OK
[  79/1923] 01_135_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/90 (s=0.990 g=0.150) | OK
[  80/1923] 01_135_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=135/90 (s=0.990 g=0.153) | OK
[  81/1923] 01_180_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/10 (s=0.954 g=0.152) | OK
[  82/1923] 01_180_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/10 (s=0.958 g=0.147) | OK
[  83/1923] 01_180_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/10 (s=0.983 g=0.121) | OK
[  84/1923] 01_180_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/10 (s=0.987 g=0.127) | OK
[  85/1923] 01_180_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/10 (s=0.985 g=0.114) | OK
[  86/1923] 01_180_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/40 (s=0.959 g=0.128) | OK
[  87/1923] 01_180_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/40 (s=0.961 g=0.145) | OK
[  88/1923] 01_180_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/40 (s=0.985 g=0.170) | OK
[  89/1923] 01_180_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/40 (s=0.989 g=0.182) | OK
[  90/1923] 01_180_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/40 (s=0.983 g=0.181) | OK
[  91/1923] 01_180_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/70 (s=0.968 g=0.104) | OK
[  92/1923] 01_180_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/70 (s=0.963 g=0.099) | OK
[  93/1923] 01_180_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/70 (s=0.992 g=0.144) | OK
[  94/1923] 01_180_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/70 (s=0.992 g=0.145) | OK
[  95/1923] 01_180_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/70 (s=0.992 g=0.145) | OK
[  96/1923] 01_180_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/90 (s=0.931 g=0.080) | OK
[  97/1923] 01_180_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/90 (s=0.928 g=0.073) | OK
[  98/1923] 01_180_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/90 (s=0.983 g=0.131) | OK
[  99/1923] 01_180_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/90 (s=0.983 g=0.136) | OK
[ 100/1923] 01_180_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=180/90 (s=0.980 g=0.128) | OK
[ 101/1923] 01_225_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/10 (s=0.976 g=0.253) | OK
[ 102/1923] 01_225_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/10 (s=0.977 g=0.243) | OK
[ 103/1923] 01_225_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/10 (s=0.908 g=0.229) | OK
[ 104/1923] 01_225_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/10 (s=0.924 g=0.245) | OK
[ 105/1923] 01_225_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/10 (s=0.861 g=0.173) | OK
[ 106/1923] 01_225_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/40 (s=0.996 g=0.224) | OK
[ 107/1923] 01_225_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/40 (s=0.996 g=0.219) | OK
[ 108/1923] 01_225_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/40 (s=0.988 g=0.204) | OK
[ 109/1923] 01_225_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/40 (s=0.989 g=0.204) | OK
[ 110/1923] 01_225_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/40 (s=0.988 g=0.204) | OK
[ 111/1923] 01_225_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/70 (s=0.990 g=0.157) | OK
[ 112/1923] 01_225_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/70 (s=0.989 g=0.149) | OK
[ 113/1923] 01_225_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/70 (s=0.971 g=0.131) | OK
[ 114/1923] 01_225_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/70 (s=0.969 g=0.130) | OK
[ 115/1923] 01_225_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/70 (s=0.970 g=0.129) | OK
[ 116/1923] 01_225_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/90 (s=0.965 g=0.146) | OK
[ 117/1923] 01_225_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/90 (s=0.965 g=0.147) | OK
[ 118/1923] 01_225_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/90 (s=0.989 g=0.141) | OK
[ 119/1923] 01_225_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/90 (s=0.990 g=0.135) | OK
[ 120/1923] 01_225_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=225/90 (s=0.991 g=0.141) | OK
[ 121/1923] 01_270_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/10 (s=0.993 g=0.110) | OK
[ 122/1923] 01_270_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/10 (s=0.994 g=0.110) | OK
[ 123/1923] 01_270_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/10 (s=0.982 g=0.091) | OK
[ 124/1923] 01_270_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/10 (s=0.984 g=0.091) | OK
[ 125/1923] 01_270_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/10 (s=0.982 g=0.102) | OK
[ 126/1923] 01_270_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/40 (s=0.992 g=0.138) | OK
[ 127/1923] 01_270_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/40 (s=0.990 g=0.134) | OK
[ 128/1923] 01_270_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/40 (s=0.987 g=0.135) | OK
[ 129/1923] 01_270_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/40 (s=0.992 g=0.140) | OK
[ 130/1923] 01_270_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/40 (s=0.992 g=0.162) | OK
[ 131/1923] 01_270_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/70 (s=0.980 g=0.105) | OK
[ 132/1923] 01_270_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/70 (s=0.979 g=0.106) | OK
[ 133/1923] 01_270_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/70 (s=0.995 g=0.130) | OK
[ 134/1923] 01_270_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/70 (s=0.995 g=0.129) | OK
[ 135/1923] 01_270_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/70 (s=0.994 g=0.129) | OK
[ 136/1923] 01_270_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/90 (s=0.987 g=0.129) | OK
[ 137/1923] 01_270_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/90 (s=0.988 g=0.129) | OK
[ 138/1923] 01_270_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/90 (s=0.996 g=0.113) | OK
[ 139/1923] 01_270_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/90 (s=0.995 g=0.108) | OK
[ 140/1923] 01_270_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=270/90 (s=0.996 g=0.114) | OK
[ 141/1923] 01_315_10_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/10 (s=0.962 g=0.070) | OK
[ 142/1923] 01_315_10_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/10 (s=0.960 g=0.072) | OK
[ 143/1923] 01_315_10_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/10 (s=0.997 g=0.099) | OK
[ 144/1923] 01_315_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/10 (s=0.992 g=0.100) | OK
[ 145/1923] 01_315_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/10 (s=0.996 g=0.100) | OK
[ 146/1923] 01_315_40_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/40 (s=0.987 g=0.117) | OK
[ 147/1923] 01_315_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/40 (s=0.987 g=0.083) | OK
[ 148/1923] 01_315_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/40 (s=0.914 g=0.042) | OK
[ 149/1923] 01_315_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/40 (s=0.956 g=0.074) | OK
[ 150/1923] 01_315_70_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/70 (s=1.000 g=0.151) | OK
[ 151/1923] 01_315_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/70 (s=1.000 g=0.150) | OK
[ 152/1923] 01_315_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/70 (s=0.979 g=0.134) | OK
[ 153/1923] 01_315_70_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/70 (s=0.980 g=0.134) | OK
[ 154/1923] 01_315_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/90 (s=0.996 g=0.163) | OK
[ 155/1923] 01_315_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/90 (s=0.996 g=0.162) | OK
[ 156/1923] 01_315_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/90 (s=0.980 g=0.157) | OK
[ 157/1923] 01_315_90_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/90 (s=0.983 g=0.160) | OK
[ 158/1923] 01_315_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | ORI=315/90 (s=0.983 g=0.159) | OK
[ 159/1923] 02_000_10_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/10 (s=0.988 g=0.210) | OK
[ 160/1923] 02_000_10_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/10 (s=0.990 g=0.218) | OK
[ 161/1923] 02_000_10_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/10 (s=0.999 g=0.227) | OK
[ 162/1923] 02_000_10_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/10 (s=1.000 g=0.225) | OK
[ 163/1923] 02_000_10_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/10 (s=0.999 g=0.222) | OK
[ 164/1923] 02_000_40_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/40 (s=0.993 g=0.181) | OK
[ 165/1923] 02_000_40_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/40 (s=0.993 g=0.182) | OK
[ 166/1923] 02_000_40_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/40 (s=0.998 g=0.183) | OK
[ 167/1923] 02_000_40_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/40 (s=0.998 g=0.186) | OK
[ 168/1923] 02_000_40_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/40 (s=0.917 g=0.099) | OK
[ 169/1923] 02_000_70_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/70 (s=0.987 g=0.207) | OK
[ 170/1923] 02_000_70_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | ORI=000/70 (s=0.987 g=0.208) | OK
