EVALUACIÓN SOBRE CARPETA (modelo M + cascada 9-12)
==================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED

[   1/ 294] 09_000_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/10 (s=0.990 g=0.230) | OK
[  12/ 294] 09_000_70_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/90 (s=0.935 g=0.007) | OK
[  13/ 294] 09_000_70_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/70 (s=0.982 g=0.176) | OK
[  14/ 294] 09_000_70_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/70 (s=0.982 g=0.175) | OK
[  15/ 294] 09_000_70_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/70 (s=0.982 g=0.176) | OK
[  16/ 294] 09_000_90_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/90 (s=0.969 g=0.114) | OK
[  17/ 294] 09_000_90_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/90 (s=0.969 g=0.114) | OK
[  18/ 294] 09_000_90_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/90 (s=1.000 g=0.118) | OK
[  19/ 294] 09_000_90_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/90 (s=1.000 g=0.118) | OK
[  20/ 294] 09_000_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/90 (s=1.000 g=0.119) | OK
[  21/ 294] 09_045_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/10 (s=0.984 g=0.580) | OK
[  22/ 294] 09_045_10_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/10 (s=0.989 g=0.581) | OK
[  23/ 294] 09_045_10_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/10 (s=0.987 g=0.610) | OK
[  24/ 294] 09_045_10_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/10 (s=0.996 g=0.587) | OK
[  25/ 294] 09_045_10_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/10 (s=0.996 g=0.587) | OK
[  26/ 294] 09_045_40_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/40 (s=0.980 g=0.358) | OK
[  27/ 294] 09_045_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/40 (s=0.980 g=0.355) | OK
[  28/ 294] 09_045_40_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/40 (s=0.995 g=0.361) | OK
[  29/ 294] 09_045_40_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/40 (s=0.995 g=0.360) | OK
[  30/ 294] 09_045_40_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/40 (s=0.994 g=0.358) | OK
[  31/ 294] 09_045_70_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/70 (s=0.998 g=0.068) | OK
[  32/ 294] 09_045_70_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/70 (s=0.998 g=0.071) | OK
[  33/ 294] 09_045_70_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/70 (s=0.992 g=0.073) | OK
[  34/ 294] 09_045_70_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/70 (s=0.993 g=0.072) | OK
[  35/ 294] 09_045_70_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/70 (s=0.993 g=0.073) | OK
[  36/ 294] 09_045_90_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/90 (s=0.991 g=0.091) | OK
[  37/ 294] 09_045_90_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/90 (s=0.991 g=0.091) | OK
[  38/ 294] 09_045_90_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/90 (s=0.964 g=0.019) | OK
[  39/ 294] 09_045_90_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/90 (s=0.963 g=0.019) | OK
[  40/ 294] 09_045_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=045/90 (s=0.963 g=0.018) | OK
[  41/ 294] 09_090_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/10 (s=0.997 g=0.346) | OK
[  42/ 294] 09_090_10_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/10 (s=0.996 g=0.344) | OK
[  43/ 294] 09_090_10_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/10 (s=0.999 g=0.360) | OK
[  44/ 294] 09_090_10_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/10 (s=0.999 g=0.360) | OK
[  45/ 294] 09_090_10_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/10 (s=0.999 g=0.360) | OK
[  46/ 294] 09_090_40_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/40 (s=0.942 g=0.234) | OK
[  47/ 294] 09_090_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/40 (s=0.942 g=0.232) | OK
[  48/ 294] 09_090_40_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/40 (s=0.986 g=0.182) | OK
[  49/ 294] 09_090_40_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/40 (s=0.986 g=0.181) | OK
[  50/ 294] 09_090_40_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/40 (s=0.986 g=0.181) | OK
[  51/ 294] 09_090_70_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/70 (s=0.998 g=0.212) | OK
[  52/ 294] 09_090_70_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/70 (s=0.998 g=0.212) | OK
[  53/ 294] 09_090_70_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/70 (s=0.992 g=0.188) | OK
[  54/ 294] 09_090_70_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/70 (s=0.992 g=0.188) | OK
[  55/ 294] 09_090_70_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/70 (s=0.992 g=0.187) | OK
[  56/ 294] 09_090_90_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/90 (s=1.000 g=0.245) | OK
[  57/ 294] 09_090_90_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/90 (s=1.000 g=0.247) | OK
[  58/ 294] 09_090_90_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/90 (s=0.999 g=0.248) | OK
[  59/ 294] 09_090_90_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/90 (s=0.999 g=0.248) | OK
[  60/ 294] 09_090_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=090/90 (s=0.998 g=0.249) | OK
[  61/ 294] 09_135_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/10 (s=0.999 g=0.199) | OK
[  62/ 294] 09_135_10_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/10 (s=0.999 g=0.200) | OK
[  63/ 294] 09_135_10_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/10 (s=0.990 g=0.213) | OK
[  64/ 294] 09_135_10_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/10 (s=0.995 g=0.213) | OK
[  65/ 294] 09_135_10_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/10 (s=0.994 g=0.214) | OK
[  66/ 294] 09_135_40_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/40 (s=0.977 g=0.087) | OK
[  67/ 294] 09_135_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/40 (s=0.976 g=0.087) | OK
[  68/ 294] 09_135_40_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/40 (s=0.995 g=0.087) | OK
[  69/ 294] 09_135_40_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/40 (s=0.994 g=0.087) | OK
[  70/ 294] 09_135_40_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/40 (s=0.994 g=0.088) | OK
[  71/ 294] 09_135_70_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/70 (s=0.960 g=0.005) | OK
[  72/ 294] 09_135_70_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/70 (s=0.960 g=0.004) | OK
[  73/ 294] 09_135_70_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/70 (s=0.989 g=0.075) | OK
[  74/ 294] 09_135_70_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/70 (s=0.989 g=0.076) | OK
[  75/ 294] 09_135_70_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/70 (s=0.989 g=0.075) | OK
[  76/ 294] 09_135_90_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/90 (s=0.996 g=0.054) | OK
[  77/ 294] 09_135_90_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/90 (s=0.997 g=0.054) | OK
[  78/ 294] 09_135_90_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/90 (s=0.999 g=0.055) | OK
[  79/ 294] 09_135_90_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/90 (s=0.999 g=0.057) | OK
[  80/ 294] 09_135_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=135/90 (s=0.999 g=0.054) | OK
[  81/ 294] 09_180_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/10 (s=0.976 g=0.319) | OK
[  82/ 294] 09_180_10_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/10 (s=0.975 g=0.309) | OK
[  83/ 294] 09_180_10_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/10 (s=0.990 g=0.371) | OK
[  84/ 294] 09_180_10_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/10 (s=0.993 g=0.368) | OK
[  85/ 294] 09_180_10_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/10 (s=0.993 g=0.368) | OK
[  86/ 294] 09_180_40_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/40 (s=0.999 g=0.197) | OK
[  87/ 294] 09_180_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/40 (s=0.999 g=0.195) | OK
[  88/ 294] 09_180_40_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/40 (s=0.998 g=0.187) | OK
[  89/ 294] 09_180_40_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/40 (s=0.997 g=0.185) | OK
[  90/ 294] 09_180_40_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/40 (s=0.997 g=0.187) | OK
[  91/ 294] 09_180_70_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/70 (s=0.954 g=0.045) | OK
[  92/ 294] 09_180_70_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/70 (s=0.955 g=0.043) | OK
[  93/ 294] 09_180_70_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/70 (s=0.988 g=0.163) | OK
[  94/ 294] 09_180_70_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/70 (s=0.988 g=0.164) | OK
[  95/ 294] 09_180_70_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/70 (s=0.988 g=0.165) | OK
[  96/ 294] 09_180_90_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/90 (s=0.977 g=0.141) | OK
[  97/ 294] 09_180_90_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/90 (s=0.978 g=0.140) | OK
[  98/ 294] 09_180_90_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/90 (s=0.994 g=0.119) | OK
[  99/ 294] 09_180_90_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/90 (s=0.994 g=0.119) | OK
[ 100/ 294] 09_180_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=180/90 (s=0.994 g=0.120) | OK
[ 101/ 294] 09_225_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/10 (s=0.901 g=0.496) | OK
[ 102/ 294] 09_225_10_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/10 (s=0.907 g=0.499) | OK
[ 103/ 294] 09_225_10_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/10 (s=0.997 g=0.584) | OK
[ 104/ 294] 09_225_10_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/10 (s=0.997 g=0.584) | OK
[ 105/ 294] 09_225_10_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/10 (s=0.996 g=0.584) | OK
[ 106/ 294] 09_225_40_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/40 (s=0.970 g=0.180) | OK
[ 107/ 294] 09_225_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/40 (s=0.970 g=0.182) | OK
[ 108/ 294] 09_225_40_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/40 (s=0.993 g=0.160) | OK
[ 109/ 294] 09_225_40_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/40 (s=0.992 g=0.161) | OK
[ 110/ 294] 09_225_40_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/40 (s=0.992 g=0.158) | OK
[ 111/ 294] 09_225_70_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/70 (s=0.995 g=0.060) | OK
[ 112/ 294] 09_225_70_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/70 (s=0.996 g=0.061) | OK
[ 113/ 294] 09_225_70_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/70 (s=0.998 g=0.061) | OK
[ 114/ 294] 09_225_70_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/70 (s=0.999 g=0.063) | OK
[ 115/ 294] 09_225_70_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/70 (s=0.999 g=0.061) | OK
[ 116/ 294] 09_225_90_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/90 (s=0.998 g=0.063) | OK
[ 117/ 294] 09_225_90_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/90 (s=0.998 g=0.062) | OK
[ 118/ 294] 09_225_90_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/90 (s=0.999 g=0.057) | OK
[ 119/ 294] 09_225_90_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/90 (s=0.999 g=0.061) | OK
[ 120/ 294] 09_225_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=225/90 (s=1.000 g=0.062) | OK
[ 121/ 294] 09_270_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/10 (s=0.993 g=0.264) | OK
[ 122/ 294] 09_270_10_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/10 (s=0.992 g=0.262) | OK
[ 123/ 294] 09_270_10_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/10 (s=0.996 g=0.281) | OK
[ 124/ 294] 09_270_10_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/10 (s=0.997 g=0.275) | OK
[ 125/ 294] 09_270_10_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/10 (s=0.998 g=0.277) | OK
[ 126/ 294] 09_270_40_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/40 (s=0.999 g=0.204) | OK
[ 127/ 294] 09_270_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/40 (s=0.998 g=0.202) | OK
[ 128/ 294] 09_270_40_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/40 (s=0.995 g=0.216) | OK
[ 129/ 294] 09_270_40_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/40 (s=0.995 g=0.216) | OK
[ 130/ 294] 09_270_40_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/40 (s=0.995 g=0.215) | OK
[ 131/ 294] 09_270_70_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/70 (s=0.992 g=0.108) | OK
[ 132/ 294] 09_270_70_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/70 (s=0.993 g=0.107) | OK
[ 133/ 294] 09_270_70_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/70 (s=0.998 g=0.103) | OK
[ 134/ 294] 09_270_70_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/70 (s=0.998 g=0.103) | OK
[ 135/ 294] 09_270_70_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/70 (s=0.998 g=0.103) | OK
[ 136/ 294] 09_270_90_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/90 (s=0.995 g=0.101) | OK
[ 137/ 294] 09_270_90_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/90 (s=0.996 g=0.102) | OK
[ 138/ 294] 09_270_90_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/90 (s=0.999 g=0.108) | OK
[ 139/ 294] 09_270_90_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/90 (s=0.999 g=0.108) | OK
[ 140/ 294] 09_270_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=270/90 (s=0.998 g=0.108) | OK
[ 141/ 294] 09_315_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/10 (s=0.998 g=0.281) | OK
[ 142/ 294] 09_315_10_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/10 (s=0.998 g=0.281) | OK
[ 143/ 294] 09_315_10_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/10 (s=0.992 g=0.283) | OK
[ 144/ 294] 09_315_10_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/10 (s=0.983 g=0.279) | OK
[ 145/ 294] 09_315_10_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/10 (s=0.991 g=0.280) | OK
[ 146/ 294] 09_315_40_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/40 (s=0.999 g=0.172) | OK
[ 147/ 294] 09_315_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/40 (s=0.998 g=0.170) | OK
[ 148/ 294] 09_315_40_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/40 (s=0.994 g=0.153) | OK
[ 149/ 294] 09_315_40_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/40 (s=0.994 g=0.154) | OK
[ 150/ 294] 09_315_40_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/40 (s=0.995 g=0.155) | OK
[ 151/ 294] 09_315_70_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/70 (s=0.999 g=0.074) | OK
[ 152/ 294] 09_315_70_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/70 (s=0.999 g=0.073) | OK
[ 153/ 294] 09_315_70_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/70 (s=0.995 g=0.067) | OK
[ 154/ 294] 09_315_70_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/70 (s=0.996 g=0.068) | OK
[ 155/ 294] 09_315_70_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/70 (s=0.995 g=0.068) | OK
[ 156/ 294] 09_315_90_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/90 (s=0.990 g=0.082) | OK
[ 157/ 294] 09_315_90_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/90 (s=0.991 g=0.080) | OK
[ 158/ 294] 09_315_90_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/90 (s=0.997 g=0.065) | OK
[ 159/ 294] 09_315_90_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/90 (s=0.997 g=0.065) | OK
[ 160/ 294] 09_315_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=315/90 (s=0.997 g=0.064) | OK
[ 161/ 294] 12_000_10_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/10 (s=0.974 g=0.207) | OK
[ 162/ 294] 12_000_10_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/10 (s=0.978 g=0.202) | OK
