EVALUACIÓN COMPLETA SOBRE T_test (CASCADA: COLOR->FORMA)
=======================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/ 335] 10_135_70_005.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[  40/ 335] 02_000_70_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[  41/ 335] 05_270_90_003.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[  42/ 335] 08_045_40_004.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  43/ 335] 04_225_70_002.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[  44/ 335] 09_315_40_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[  45/ 335] 06_090_90_002.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[  46/ 335] 11_135_70_002.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[  47/ 335] 07_045_70_004.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[  48/ 335] 05_315_90_003.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[  49/ 335] 05_180_10_005.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[  50/ 335] 10_045_10_005.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[  51/ 335] 01_045_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  52/ 335] 03_135_40_003.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[  53/ 335] 05_000_10_004.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[  54/ 335] 01_045_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  55/ 335] 04_225_40_002.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[  56/ 335] 09_315_10_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[  57/ 335] 11_315_70_001.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[  58/ 335] 08_180_10_005.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  59/ 335] 08_225_90_001.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  60/ 335] 08_225_10_003.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  61/ 335] 03_225_10_005.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[  62/ 335] 11_135_70_004.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[  63/ 335] 11_090_90_004.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[  64/ 335] 06_045_40_002.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[  65/ 335] 04_225_10_005.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[  66/ 335] 11_090_10_004.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[  67/ 335] 08_090_90_001.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  68/ 335] 04_090_70_002.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[  69/ 335] 09_315_10_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[  70/ 335] 06_270_40_003.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[  71/ 335] 08_315_70_003.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  72/ 335] 05_000_10_001.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[  73/ 335] 10_270_10_002.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[  74/ 335] 08_135_90_003.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  75/ 335] 02_225_40_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[  76/ 335] 08_225_40_005.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  77/ 335] 10_270_10_004.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[  78/ 335] 05_135_70_001.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[  79/ 335] 08_180_10_004.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  80/ 335] 10_180_70_003.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[  81/ 335] 01_225_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  82/ 335] 08_135_10_003.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[  83/ 335] 09_270_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[  84/ 335] 07_315_70_005.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[  85/ 335] 11_000_10_004.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[  86/ 335] 01_135_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  87/ 335] 10_000_90_005.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[  88/ 335] 02_180_70_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[  89/ 335] 03_180_70_004.jpg | REAL=03 | PRED_BASE=06 | PRED_FINAL=03 | REF=3-6 | OK
[  90/ 335] 07_000_40_004.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[  91/ 335] 05_180_90_004.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[  92/ 335] 01_000_90_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  93/ 335] 01_000_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  94/ 335] 07_180_70_003.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[  95/ 335] 06_225_90_003.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[  96/ 335] 01_225_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[  97/ 335] 07_315_10_004.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[  98/ 335] 02_090_90_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[  99/ 335] 04_180_90_005.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 100/ 335] 01_045_90_001.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 101/ 335] 07_045_40_002.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 102/ 335] 05_315_40_001.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 103/ 335] 02_315_70_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 104/ 335] 11_225_40_006.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 105/ 335] 06_045_70_005.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 106/ 335] 06_225_40_004.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 107/ 335] 08_045_70_004.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 108/ 335] 07_045_40_001.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 109/ 335] 06_045_40_004.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 110/ 335] 03_180_70_002.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 111/ 335] 04_270_70_004.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 112/ 335] 11_000_40_005.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 113/ 335] 05_315_10_003.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 114/ 335] 09_270_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 115/ 335] 02_090_70_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 116/ 335] 10_180_90_003.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 117/ 335] 02_090_90_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 118/ 335] 01_180_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 119/ 335] 03_045_70_002.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 120/ 335] 11_135_10_001.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 121/ 335] 03_225_90_004.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 122/ 335] 08_270_40_003.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 123/ 335] 08_315_10_005.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 124/ 335] 08_000_70_001.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 125/ 335] 01_270_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 126/ 335] 11_090_70_003.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 127/ 335] 08_270_40_005.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 128/ 335] 12_180_40_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 129/ 335] 11_270_70_001.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 130/ 335] 12_180_10_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 131/ 335] 02_270_90_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 132/ 335] 10_135_90_004.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 133/ 335] 07_180_90_003.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 134/ 335] 03_315_90_004.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 135/ 335] 01_045_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 136/ 335] 04_180_70_004.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 137/ 335] 02_180_40_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 138/ 335] 06_180_70_003.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 139/ 335] 01_270_90_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 140/ 335] 11_270_90_002.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 141/ 335] 04_000_10_003.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 142/ 335] 09_135_10_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 143/ 335] 07_000_10_004.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 144/ 335] 06_090_10_005.jpg | REAL=06 | PRED_BASE=03 | PRED_FINAL=06 | REF=3-6 | OK
[ 145/ 335] 11_225_40_005.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 146/ 335] 11_045_40_001.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 147/ 335] 05_135_10_001.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 148/ 335] 09_045_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 149/ 335] 06_315_40_002.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 150/ 335] 05_180_40_002.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 151/ 335] 04_225_40_005.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 152/ 335] 07_090_90_001.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 153/ 335] 02_135_90_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 154/ 335] 09_045_40_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 155/ 335] 02_180_90_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 156/ 335] 10_045_40_006.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 157/ 335] 10_090_40_005.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 158/ 335] 02_000_10_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 159/ 335] 02_180_70_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 160/ 335] 10_270_70_003.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 161/ 335] 11_315_10_002.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 162/ 335] 11_135_40_005.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 163/ 335] 11_090_40_006.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 164/ 335] 04_000_70_002.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 165/ 335] 08_180_40_004.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 166/ 335] 02_225_70_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 167/ 335] 01_090_40_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 168/ 335] 05_135_70_004.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 169/ 335] 11_045_90_006.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 170/ 335] 03_270_40_005.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 171/ 335] 05_270_10_001.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 172/ 335] 07_045_90_001.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 173/ 335] 11_180_40_005.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 174/ 335] 03_270_90_001.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 175/ 335] 06_000_10_003.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 176/ 335] 02_135_70_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 177/ 335] 08_135_40_005.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 178/ 335] 07_315_70_002.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 179/ 335] 07_225_10_002.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 180/ 335] 03_000_90_003.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 181/ 335] 07_090_40_002.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 182/ 335] 01_090_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 183/ 335] 11_270_10_004.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 184/ 335] 07_225_10_001.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 185/ 335] 01_270_40_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 186/ 335] 03_225_40_004.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 187/ 335] 06_225_70_002.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 188/ 335] 01_315_40_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 189/ 335] 04_180_10_001.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 190/ 335] 05_000_10_002.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 191/ 335] 04_045_70_005.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 192/ 335] 07_045_90_005.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 193/ 335] 09_180_70_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 194/ 335] 07_225_40_005.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 195/ 335] 05_045_10_002.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 196/ 335] 01_135_70_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 197/ 335] 01_045_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 198/ 335] 05_180_90_005.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 199/ 335] 03_045_40_003.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 200/ 335] 03_270_40_003.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 201/ 335] 02_135_40_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 202/ 335] 08_225_10_001.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 203/ 335] 05_225_10_002.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 204/ 335] 11_180_40_006.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 205/ 335] 03_045_40_004.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 206/ 335] 11_135_10_004.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 207/ 335] 07_270_40_004.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 208/ 335] 06_225_10_004.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 209/ 335] 08_000_40_003.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 210/ 335] 03_135_40_002.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 211/ 335] 10_315_70_002.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 212/ 335] 03_045_10_005.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 213/ 335] 04_225_40_004.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 214/ 335] 06_045_70_004.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 215/ 335] 07_045_90_004.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 216/ 335] 03_090_10_004.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 217/ 335] 05_090_10_004.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 218/ 335] 08_090_70_001.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 219/ 335] 04_135_90_003.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 220/ 335] 03_225_70_005.jpg | REAL=03 | PRED_BASE=06 | PRED_FINAL=03 | REF=3-6 | OK
[ 221/ 335] 05_315_90_005.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 222/ 335] 09_180_90_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 223/ 335] 12_180_10_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 224/ 335] 04_315_70_005.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 225/ 335] 02_180_70_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 226/ 335] 02_000_70_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 227/ 335] 08_315_40_004.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
