EVALUACIÓN COMPLETA SOBRE F_test
================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/ 132] 09_000_10_001.jpg | REAL=09 | PRED=03 | FAIL
[  72/ 132] 09_045_90_005.jpg | REAL=09 | PRED=03 | FAIL
[  73/ 132] 12_180_40_006.jpg | REAL=12 | PRED=03 | FAIL
[  74/ 132] 03_315_10_005.jpg | REAL=03 | PRED=03 | OK
[  75/ 132] 12_135_40_003.jpg | REAL=12 | PRED=06 | FAIL
[  76/ 132] 03_315_70_002.jpg | REAL=03 | PRED=03 | OK
[  77/ 132] 03_225_70_003.jpg | REAL=03 | PRED=03 | OK
[  78/ 132] 09_315_40_001.jpg | REAL=09 | PRED=03 | FAIL
[  79/ 132] 03_000_90_005.jpg | REAL=03 | PRED=03 | OK
[  80/ 132] 06_000_40_005.jpg | REAL=06 | PRED=06 | OK
[  81/ 132] 03_270_70_002.jpg | REAL=03 | PRED=03 | OK
[  82/ 132] 12_180_10_002.jpg | REAL=12 | PRED=03 | FAIL
[  83/ 132] 09_225_90_005.jpg | REAL=09 | PRED=03 | FAIL
[  84/ 132] 03_270_70_005.jpg | REAL=03 | PRED=03 | OK
[  85/ 132] 06_315_10_002.jpg | REAL=06 | PRED=06 | OK
[  86/ 132] 12_180_70_004.jpg | REAL=12 | PRED=03 | FAIL
[  87/ 132] 09_135_10_003.jpg | REAL=09 | PRED=03 | FAIL
[  88/ 132] 12_090_10_004.jpg | REAL=12 | PRED=06 | FAIL
[  89/ 132] 09_090_90_004.jpg | REAL=09 | PRED=03 | FAIL
[  90/ 132] 09_225_40_002.jpg | REAL=09 | PRED=03 | FAIL
[  91/ 132] 12_180_70_003.jpg | REAL=12 | PRED=03 | FAIL
[  92/ 132] 03_045_70_005.jpg | REAL=03 | PRED=03 | OK
[  93/ 132] 03_000_10_004.jpg | REAL=03 | PRED=03 | OK
[  94/ 132] 03_180_10_002.jpg | REAL=03 | PRED=03 | OK
[  95/ 132] 09_135_10_001.jpg | REAL=09 | PRED=03 | FAIL
[  96/ 132] 06_180_90_003.jpg | REAL=06 | PRED=06 | OK
[  97/ 132] 03_180_40_002.jpg | REAL=03 | PRED=03 | OK
[  98/ 132] 12_135_10_002.jpg | REAL=12 | PRED=06 | FAIL
[  99/ 132] 09_045_10_004.jpg | REAL=09 | PRED=06 | FAIL
[ 100/ 132] 12_225_40_001.jpg | REAL=12 | PRED=03 | FAIL
[ 101/ 132] 03_180_90_002.jpg | REAL=03 | PRED=03 | OK
[ 102/ 132] 09_270_90_005.jpg | REAL=09 | PRED=03 | FAIL
[ 103/ 132] 09_315_70_004.jpg | REAL=09 | PRED=03 | FAIL
[ 104/ 132] 06_090_40_001.jpg | REAL=06 | PRED=06 | OK
[ 105/ 132] 09_315_90_003.jpg | REAL=09 | PRED=03 | FAIL
[ 106/ 132] 03_135_70_004.jpg | REAL=03 | PRED=03 | OK
[ 107/ 132] 09_180_10_004.jpg | REAL=09 | PRED=03 | FAIL
[ 108/ 132] 09_090_10_004.jpg | REAL=09 | PRED=03 | FAIL
[ 109/ 132] 12_270_70_001.jpg | REAL=12 | PRED=03 | FAIL
[ 110/ 132] 09_045_10_003.jpg | REAL=09 | PRED=06 | FAIL
[ 111/ 132] 09_225_10_005.jpg | REAL=09 | PRED=03 | FAIL
[ 112/ 132] 06_180_70_001.jpg | REAL=06 | PRED=06 | OK
[ 113/ 132] 06_090_90_005.jpg | REAL=06 | PRED=06 | OK
[ 114/ 132] 12_045_10_005.jpg | REAL=12 | PRED=06 | FAIL
[ 115/ 132] 12_270_40_003.jpg | REAL=12 | PRED=03 | FAIL
[ 116/ 132] 12_225_70_005.jpg | REAL=12 | PRED=03 | FAIL
[ 117/ 132] 03_045_70_002.jpg | REAL=03 | PRED=03 | OK
[ 118/ 132] 06_315_70_005.jpg | REAL=06 | PRED=06 | OK
[ 119/ 132] 09_315_90_002.jpg | REAL=09 | PRED=03 | FAIL
[ 120/ 132] 03_180_40_003.jpg | REAL=03 | PRED=03 | OK
[ 121/ 132] 09_270_70_003.jpg | REAL=09 | PRED=03 | FAIL
[ 122/ 132] 06_315_40_003.jpg | REAL=06 | PRED=06 | OK
[ 123/ 132] 09_315_90_005.jpg | REAL=09 | PRED=03 | FAIL
[ 124/ 132] 03_225_70_005.jpg | REAL=03 | PRED=03 | OK
[ 125/ 132] 03_000_40_005.jpg | REAL=03 | PRED=03 | OK
[ 126/ 132] 09_270_90_003.jpg | REAL=09 | PRED=03 | FAIL
[ 127/ 132] 03_000_70_004.jpg | REAL=03 | PRED=03 | OK
[ 128/ 132] 03_315_90_003.jpg | REAL=03 | PRED=03 | OK
[ 129/ 132] 12_045_10_002.jpg | REAL=12 | PRED=03 | FAIL
[ 130/ 132] 09_180_40_005.jpg | REAL=09 | PRED=03 | FAIL
[ 131/ 132] 12_180_40_003.jpg | REAL=12 | PRED=03 | FAIL
[ 132/ 132] 03_225_90_003.jpg | REAL=03 | PRED=03 | OK


RESUMEN
------
Total filas F_test        : 132
Imágenes no encontradas   : 0
Evaluadas (con archivo)   : 132
Aciertos                 : 63
Fallos                   : 69
Accuracy (sin missing)    : 47.73 %


LISTA DE FALLOS (si los hay)
----------------------------
09_000_10_001.jpg | REAL=09 | PRED=03
09_045_40_003.jpg | REAL=09 | PRED=03
09_045_40_002.jpg | REAL=09 | PRED=03
12_000_10_001.jpg | REAL=12 | PRED=03
12_135_10_001.jpg | REAL=12 | PRED=06
09_135_70_001.jpg | REAL=09 | PRED=03
12_090_10_005.jpg | REAL=12 | PRED=06
12_135_70_001.jpg | REAL=12 | PRED=03
12_045_70_004.jpg | REAL=12 | PRED=03
09_315_10_003.jpg | REAL=09 | PRED=03
09_135_90_005.jpg | REAL=09 | PRED=03
09_135_10_004.jpg | REAL=09 | PRED=03
09_270_10_001.jpg | REAL=09 | PRED=03
09_270_90_002.jpg | REAL=09 | PRED=03
09_270_70_002.jpg | REAL=09 | PRED=03
09_090_40_003.jpg | REAL=09 | PRED=03
12_180_40_004.jpg | REAL=12 | PRED=03
09_270_10_003.jpg | REAL=09 | PRED=03
09_135_90_004.jpg | REAL=09 | PRED=03
09_135_90_002.jpg | REAL=09 | PRED=03
09_045_90_001.jpg | REAL=09 | PRED=03
12_090_70_006.jpg | REAL=12 | PRED=03
09_000_40_002.jpg | REAL=09 | PRED=03
12_225_40_005.jpg | REAL=12 | PRED=03
12_225_70_002.jpg | REAL=12 | PRED=03
12_315_70_004.jpg | REAL=12 | PRED=03
12_270_40_005.jpg | REAL=12 | PRED=03
09_225_10_001.jpg | REAL=09 | PRED=03
12_090_10_002.jpg | REAL=12 | PRED=06
09_180_10_001.jpg | REAL=09 | PRED=03
12_315_40_006.jpg | REAL=12 | PRED=03
09_180_40_002.jpg | REAL=09 | PRED=03
09_000_10_002.jpg | REAL=09 | PRED=03
09_315_10_005.jpg | REAL=09 | PRED=03
12_045_40_003.jpg | REAL=12 | PRED=03
09_045_90_005.jpg | REAL=09 | PRED=03
12_180_40_006.jpg | REAL=12 | PRED=03
12_135_40_003.jpg | REAL=12 | PRED=06
09_315_40_001.jpg | REAL=09 | PRED=03
12_180_10_002.jpg | REAL=12 | PRED=03
09_225_90_005.jpg | REAL=09 | PRED=03
12_180_70_004.jpg | REAL=12 | PRED=03
09_135_10_003.jpg | REAL=09 | PRED=03
12_090_10_004.jpg | REAL=12 | PRED=06
09_090_90_004.jpg | REAL=09 | PRED=03
09_225_40_002.jpg | REAL=09 | PRED=03
12_180_70_003.jpg | REAL=12 | PRED=03
09_135_10_001.jpg | REAL=09 | PRED=03
12_135_10_002.jpg | REAL=12 | PRED=06
09_045_10_004.jpg | REAL=09 | PRED=06
12_225_40_001.jpg | REAL=12 | PRED=03
09_270_90_005.jpg | REAL=09 | PRED=03
09_315_70_004.jpg | REAL=09 | PRED=03
09_315_90_003.jpg | REAL=09 | PRED=03
09_180_10_004.jpg | REAL=09 | PRED=03
09_090_10_004.jpg | REAL=09 | PRED=03
12_270_70_001.jpg | REAL=12 | PRED=03
09_045_10_003.jpg | REAL=09 | PRED=06
09_225_10_005.jpg | REAL=09 | PRED=03
12_045_10_005.jpg | REAL=12 | PRED=06
12_270_40_003.jpg | REAL=12 | PRED=03
12_225_70_005.jpg | REAL=12 | PRED=03
09_315_90_002.jpg | REAL=09 | PRED=03
09_270_70_003.jpg | REAL=09 | PRED=03
09_315_90_005.jpg | REAL=09 | PRED=03
09_270_90_003.jpg | REAL=09 | PRED=03
12_045_10_002.jpg | REAL=12 | PRED=03
09_180_40_005.jpg | REAL=09 | PRED=03
12_180_40_003.jpg | REAL=12 | PRED=03
